DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,
200,200,26220,7,mm,200,1,26220,,,,,,,,
Frame#,Time,Drone_Left_Front,,Drone_Right_Front,,Drone_Center_Front,,Drone_Center_Back,,Speaker_1,,Speaker_2,,Speaker_3,
Frame,Time,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
6641,33.2,82.10612,-332.36725,117.63559,-349.47943,,,87.45798,-370.64484,270.98264,40.8445,249.44211,74.49293,,
6642,33.205,82.91474,-331.15552,118.28006,-348.09058,,,88.0836,-369.55188,271.04242,40.63382,249.69983,74.22268,,
6643,33.21,83.64011,-329.87256,119.02349,-347.00729,,,88.73333,-368.26236,271.2081,40.45671,249.94754,74.04234,,
6644,33.215,84.28079,-328.56107,119.69066,-345.78125,,,89.37409,-366.95047,271.40872,40.23702,250.18727,73.87684,,
6645,33.22,84.98016,-327.16727,120.42365,-344.48932,,,89.98347,-365.74863,271.66666,40.1008,250.53654,73.65244,,
6646,33.225,85.62366,-325.88409,120.97922,-343.24597,,,90.5769,-364.39264,271.93948,39.94185,250.83362,73.47849,,
6647,33.23,86.30558,-324.62427,121.63911,-341.93118,,,91.15718,-363.19397,272.1275,39.78479,251.27153,73.2664,,
6648,33.235,86.8805,-323.39328,122.29102,-340.72021,,,91.89796,-361.89331,272.38324,39.60648,251.62894,73.1104,,
6649,33.24,87.50585,-321.92191,122.86139,-339.37106,,,92.4175,-360.58542,272.63239,39.55238,251.96027,72.96779,,
6650,33.245,88.11447,-320.54861,123.40911,-337.93542,,,93.03371,-359.15372,272.90613,39.29312,252.30153,72.74257,,
6651,33.25,88.72276,-319.19229,124.11612,-336.57184,,,93.67886,-357.84531,273.08508,39.15606,252.67148,72.34322,,
6652,33.255,89.40569,-317.86737,124.75228,-335.23224,,,94.30785,-356.50916,273.34067,38.92807,253.07588,72.19832,,
6653,33.26,89.90015,-316.46649,125.4531,-333.86853,,,94.95275,-355.14746,273.55716,38.69594,253.43983,71.93269,,
6654,33.265,90.59437,-315.1058,126.15192,-332.50143,,,95.5645,-353.84424,273.94421,38.28357,253.82005,71.67594,,
6655,33.27,91.12612,-313.61984,126.6459,-331.18756,,,96.12788,-352.40808,274.22507,37.89193,254.21265,71.35957,,
6656,33.275,91.75796,-312.31244,127.25882,-329.67929,,,96.72022,-351.07614,274.43915,37.57096,254.62524,71.07202,,
6657,33.28,92.36235,-310.87164,127.82581,-328.29095,,,97.23531,-349.65497,274.6543,37.18996,255.10606,70.73903,,
6658,33.285,92.89783,-309.47971,128.35051,-326.89005,,,97.86529,-348.29764,274.94852,36.80907,255.56145,70.42539,,
6659,33.29,93.47195,-308.03906,128.96217,-325.47803,,,98.34933,-346.85101,275.26752,36.39927,256.12985,70.12453,,
6660,33.295,94.0482,-306.57721,129.50769,-324.01233,,,98.9245,-345.45563,275.61725,35.8003,256.49173,69.70203,,
6661,33.3,94.60772,-305.18359,130.06377,-322.65549,,,99.54811,-344.10315,275.87201,35.34042,256.96518,69.22065,,
6662,33.305,95.26097,-303.72421,130.61499,-321.23135,,,100.12804,-342.78708,276.237,34.72224,257.51886,68.72866,,
6663,33.31,95.79483,-302.32019,131.07048,-319.75391,,,100.61102,-341.30536,276.64954,34.15851,258.01654,68.24521,,
6664,33.315,96.32784,-300.8681,131.6058,-318.3656,,,101.05048,-339.88287,277.06979,33.56386,258.54367,67.79652,,
6665,33.32,96.83641,-299.43677,132.17284,-316.94565,,,101.64959,-338.47592,277.49481,33.04787,259.15118,67.29079,,
6666,33.325,97.37132,-297.96024,132.71748,-315.52475,,,102.18584,-337.0488,278.0173,32.44687,259.70291,66.7397,,
6667,33.33,97.82994,-296.56747,133.19145,-313.98236,,,102.80145,-335.69342,278.61008,31.75139,260.40475,66.16953,,
6668,33.335,98.39207,-295.03577,133.71393,-312.6955,,,103.35107,-334.29413,279.20624,31.20936,261.08237,65.68359,,
6669,33.34,98.86147,-293.63962,134.19806,-311.1951,,,103.81635,-332.8681,279.91809,30.54419,261.72595,65.24799,,
6670,33.345,99.38767,-292.25922,134.67647,-309.82196,,,104.22229,-331.48813,280.52298,29.9625,262.73795,64.63715,,
6671,33.35,99.87101,-290.86807,135.16603,-308.35715,,,104.79615,-329.98584,281.2854,29.16373,263.48953,64.08237,,
6672,33.355,100.40412,-289.41669,135.68248,-307.01318,,,105.23531,-328.80533,281.92996,28.5694,264.26297,63.61615,,
6673,33.36,100.88942,-287.95789,136.21043,-305.4743,,,105.71801,-327.26419,282.59122,27.80088,265.09061,63.13125,,
6674,33.365,101.35331,-286.564,136.75529,-304.16898,,,106.25424,-326.00171,283.38867,27.10828,265.99756,62.73538,,
6675,33.37,101.87045,-285.18756,137.20387,-302.75388,,,106.77216,-324.39981,284.09714,26.45248,266.87619,62.43099,,
6676,33.375,102.39522,-283.80795,137.71758,-301.36313,,,107.36876,-323.10217,284.86292,25.83775,267.84167,61.96355,,
6677,33.38,102.74033,-282.31931,138.40388,-299.96323,,,107.77151,-321.63361,285.75317,25.18002,268.73651,61.46985,,
6678,33.385,103.21687,-281.03339,138.77287,-298.55722,,,108.23273,-320.30334,286.66296,24.59784,269.91983,61.01522,,
6679,33.39,103.74094,-279.68622,139.26892,-297.09283,,,108.61904,-318.95209,287.59158,23.99861,271.01059,60.47189,,
6680,33.395,104.15272,-278.30826,139.75876,-295.8421,,,109.07076,-317.61664,288.59653,23.35515,272.05139,60.12177,,
6681,33.4,104.61394,-276.87698,140.12039,-294.34894,,,109.61041,-316.25531,289.64215,22.74177,273.18747,59.43037,,
6682,33.405,105.08879,-275.50436,140.54588,-293.11484,,,110.12265,-314.85687,290.84027,22.2073,274.40997,58.95482,,
6683,33.41,105.46893,-274.15814,141.08305,-291.62665,,,110.49344,-313.38452,292.12631,21.58488,275.50589,58.44051,,
6684,33.415,106.0192,-272.86197,141.4948,-290.29535,,,111.00672,-312.14951,293.32248,20.99332,276.73453,57.94253,,
6685,33.42,106.42838,-271.56436,142.00304,-288.91992,,,111.47665,-310.79248,294.59995,20.5234,277.76782,57.44198,,
6686,33.425,106.88181,-270.10202,142.41605,-287.67523,,,111.91687,-309.5054,295.89301,19.99914,279.09402,56.9358,,
6687,33.43,107.3354,-268.90628,142.81201,-286.36206,,,112.31375,-308.15704,297.19168,19.46257,280.28268,56.52113,,
6688,33.435,107.78082,-267.59091,143.2052,-284.94312,,,112.78673,-306.86029,298.40887,19.03165,281.69992,56.07137,,
6689,33.44,108.2251,-266.27954,143.66055,-283.67059,,,113.16322,-305.50024,299.64694,18.55849,282.75558,55.67411,,
6690,33.445,108.66961,-264.94418,144.00789,-282.32486,,,113.61436,-304.20908,300.80188,18.12287,283.94391,55.38985,,
6691,33.45,109.04989,-263.69778,144.54523,-280.98047,,,114.05367,-302.85342,301.92526,17.70398,285.01889,55.02937,,
6692,33.455,109.50241,-262.36688,144.94115,-279.66293,,,114.48169,-301.6123,302.96848,17.17346,286.1853,54.68267,,
6693,33.46,109.87416,-261.09201,145.32799,-278.40756,,,115.06333,-300.35568,304.01984,16.83751,287.28085,54.493,,
6694,33.465,110.38555,-259.77167,145.7704,-277.09726,,,115.5024,-299.16125,305.04431,16.49342,288.49982,54.08117,,
6695,33.47,110.72151,-258.56116,146.14897,-275.83704,,,115.80515,-297.94284,306.17749,16.14412,289.55725,53.79093,,
6696,33.475,111.11907,-257.34802,146.60107,-274.63684,,,116.29212,-296.6503,307.11371,15.79071,290.66376,53.57338,,
6697,33.48,111.57578,-256.15918,146.93729,-273.47308,,,116.7192,-295.50122,308.21194,15.37178,291.79141,53.19262,,
6698,33.485,111.95744,-254.81801,147.34154,-272.11096,,,117.12408,-294.16315,309.28922,15.08592,292.87622,52.87286,,
6699,33.49,112.34565,-253.61809,147.74893,-270.83664,,,117.56903,-292.8638,310.46341,14.65982,293.82751,52.44745,,
6700,33.495,112.74787,-252.39053,148.14595,-269.64777,,,118.07658,-291.7088,311.58005,14.29932,294.90411,52.05783,,
6701,33.5,113.18781,-251.20554,148.50047,-268.48822,,,118.41548,-290.48398,312.58011,14.00824,295.80084,51.72263,,
6702,33.505,113.57776,-250.05911,149.0018,-267.2464,,,118.73327,-289.34415,313.71585,13.60905,296.84167,51.3205,,
6703,33.51,113.93595,-248.81187,149.31891,-265.99051,,,119.1869,-288.13315,314.69876,13.30548,297.70264,51.07015,,
6704,33.515,114.23679,-247.62279,149.7606,-264.86365,,,119.60447,-286.80328,315.69882,13.06826,298.95807,50.61667,,
6705,33.52,114.6279,-246.54689,150.24136,-263.76447,,,119.95791,-285.79501,316.66211,12.73848,299.77972,50.30085,,
6706,33.525,115.10326,-245.32584,150.51631,-262.50018,,,120.30687,-284.63446,317.55341,12.3545,300.69705,49.95298,,
6707,33.53,115.4918,-244.11101,151.03401,-261.44031,,,120.77763,-283.47977,318.53583,12.02977,301.55237,49.66757,,
6708,33.535,115.88423,-243.00131,151.38487,-260.20813,,,121.16714,-282.358,319.43198,11.71784,302.42056,49.36024,,
6709,33.54,116.21156,-241.86357,151.77225,-259.00861,,,121.59213,-281.19571,320.35025,11.36565,303.22974,49.03667,,
6710,33.545,116.64464,-240.80856,152.1609,-257.9776,,,121.91474,-280.04553,321.16934,11.02935,304.18723,48.69204,,
6711,33.55,117.15017,-239.5506,152.49385,-256.90921,,,122.27176,-278.93112,322.03964,10.65997,305.02374,48.32326,,
6712,33.555,117.46116,-238.49138,152.95073,-255.66951,,,122.63626,-277.81448,322.93359,10.2982,305.95215,47.97633,,
6713,33.56,117.82192,-237.36984,153.31108,-254.60133,,,123.08285,-276.76526,323.923,9.88655,306.90601,47.52461,,
6714,33.565,118.19849,-236.40842,153.6225,-253.41988,,,123.41964,-275.70013,324.86407,9.59099,307.71725,47.04333,,
6715,33.57,118.61127,-235.27219,154.07451,-252.46251,,,123.81284,-274.52365,325.69543,9.14204,308.59146,46.67582,,
6716,33.575,118.94427,-234.25882,154.36861,-251.39336,,,124.13873,-273.547,326.78992,8.71843,309.56079,46.16712,,
6717,33.58,119.2965,-233.11848,154.64185,-250.26741,,,124.70468,-272.30823,327.7475,8.40369,310.55255,45.72264,,
6718,33.585,119.58513,-232.08548,155.13638,-249.28024,,,125.1003,-271.28531,328.82166,7.90854,311.51337,45.41292,,
6719,33.59,119.95494,-231.04146,155.53708,-248.13857,,,125.47533,-270.21078,329.92227,7.45207,312.45062,44.97509,,
6720,33.595,120.38262,-229.93881,155.98758,-247.09766,,,125.82816,-269.22333,330.91245,7.11053,313.44769,44.58189,,
6721,33.6,120.73716,-228.88785,156.39748,-246.10753,,,126.28645,-268.23938,331.93723,6.74491,314.40726,44.27539,,
6722,33.605,121.10241,-227.90535,156.64397,-244.96043,,,126.71748,-267.10315,332.92978,6.36655,315.43674,43.90599,,
6723,33.61,121.4847,-226.8573,157.06158,-244.02399,,,127.08188,-266.1243,334.07104,5.99852,316.3931,43.51472,,
6724,33.615,121.84631,-225.88971,157.36548,-242.98367,,,127.50565,-265.10147,335.00958,5.61285,317.6835,43.22771,,
6725,33.62,122.25629,-224.88257,157.79436,-241.96153,,,127.96368,-263.99033,336.2106,5.17142,318.80624,42.96831,,
6726,33.625,122.61847,-223.87872,158.17581,-240.97881,,,128.36606,-263.15671,337.41507,4.8606,319.7963,42.76153,,
6727,33.63,123.0336,-222.99939,158.58344,-239.95093,,,128.93732,-262.10574,338.45801,4.64807,320.99335,42.56393,,
6728,33.635,123.42259,-221.96921,158.99272,-238.90038,,,129.36937,-261.14212,339.6778,4.34899,322.14703,42.43247,,
6729,33.64,123.75654,-220.8889,159.55133,-237.84384,,,129.97551,-260.2562,340.78986,4.12753,323.33209,42.31414,,
6730,33.645,124.21188,-219.97311,159.96034,-236.9061,,,130.3797,-259.17432,342.08704,3.8734,324.61581,42.33685,,
6731,33.65,124.65858,-219.01155,160.29718,-235.85576,,,130.75186,-258.15747,343.30597,3.87657,325.88162,42.34277,,
6732,33.655,125.04724,-218.06523,160.76074,-234.87843,,,131.17017,-257.22165,344.55072,3.7887,327.13379,42.34673,,
6733,33.66,125.47746,-217.10603,161.20677,-233.93108,,,131.69965,-256.27115,345.82242,3.83445,328.36804,42.36275,,
6734,33.665,125.8683,-216.14163,161.59514,-232.8589,,,132.29042,-255.35677,347.1438,3.86819,329.68362,42.44308,,
6735,33.67,126.32167,-215.2222,162.06982,-231.94514,,,132.79327,-254.42542,348.496,3.88603,330.89017,42.48735,,
6736,33.675,126.83894,-214.30051,162.60835,-230.99471,,,133.0518,-253.39534,349.69583,3.96414,332.08032,42.60763,,
6737,33.68,127.17171,-213.31935,163.04839,-230.10561,,,133.47777,-252.42635,350.92169,4.21783,333.17786,42.86906,,
6738,33.685,127.71357,-212.37672,163.43661,-229.06689,,,134.15025,-251.46223,352.04691,4.43528,334.30142,43.13057,,
6739,33.69,128.30782,-211.50314,164.00967,-228.22209,,,134.65652,-250.60651,353.14102,4.67581,335.33987,43.4878,,
6740,33.695,128.82072,-210.56747,164.5118,-227.28835,,,135.1259,-249.61609,354.07565,5.07648,336.62067,43.71479,,
6741,33.7,129.32382,-209.59874,164.97797,-226.27161,,,135.56786,-248.54453,355.18649,5.49923,337.52695,44.173,,
6742,33.705,129.86115,-208.59756,165.46431,-225.28398,,,136.32603,-247.79027,356.01642,5.92184,338.4256,44.74228,,
6743,33.71,130.44054,-207.69225,166.02177,-224.43031,,,136.95993,-246.87193,356.85956,6.3071,339.26434,45.22395,,
6744,33.715,130.91205,-206.82814,166.5843,-223.4088,,,137.37102,-245.83109,357.63867,6.73563,340.07806,45.83709,,
6745,33.72,131.43311,-205.86855,167.11533,-222.47238,,,137.78983,-244.87627,358.24435,7.23957,340.80988,46.26268,,
6746,33.725,131.96375,-204.93159,167.59081,-221.69878,,,138.46292,-243.99403,358.87811,7.74116,341.43652,46.8748,,
6747,33.73,132.48903,-204.12994,168.14326,-220.65767,,,138.98595,-243.1705,359.53558,8.3808,342.04614,47.42274,,
6748,33.735,133.05875,-203.14134,168.80113,-219.81956,,,139.5065,-242.08115,360.10788,9.04544,342.61368,48.00945,,
