DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,
200,200,26220,7,mm,200,1,26220,,,,,,,,
Frame#,Time,Drone_Left_Front,,Drone_Right_Front,,Drone_Center_Front,,Drone_Center_Back,,Speaker_1,,Speaker_2,,Speaker_3,
Frame,Time,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
3710,18.545,-509.1421723,-433.9997219,-504.70936,-396.8279113,,,-475.8712487,-416.7505021,-789.9280226,-326.1751676,-823.713803,-334.7118666,-752.3922954,-241.2434164
3711,18.55,-510.870023,-434.153473,-506.2577921,-396.9717559,,,-477.4892503,-417.0474308,-790.4792647,-325.3070194,-824.3590425,-333.8802783,-752.7873809,-240.5027286
3712,18.555,-512.5990671,-434.298458,-507.8072285,-397.1065246,,,-479.1090485,-417.3372579,-791.0234429,-324.4296275,-824.9963579,-333.0366202,-753.1759597,-239.7533098
3713,18.56,-514.3276416,-434.4356199,-509.3572083,-397.2332207,,,-480.7296636,-417.6203295,-791.5619289,-323.5413888,-825.6274434,-332.1805905,-753.5578154,-238.9948718
3714,18.565,-516.0619904,-434.560575,-510.9067899,-397.3523285,,,-482.3527476,-417.896208,-792.0932058,-322.6450528,-826.2528414,-331.3112889,-753.9320763,-238.2285625
3715,18.57,-517.7992652,-434.6756594,-512.456751,-397.4618955,,,-483.9787475,-418.1633645,-792.620545,-321.7389835,-826.8741155,-330.4277516,-754.3000396,-237.4534365
3716,18.575,-519.5377862,-434.7820981,-514.0059148,-397.5636867,,,-485.6070411,-418.4228359,-793.1427014,-320.824083,-827.4905428,-329.5313482,-754.661329,-236.6709247
3717,18.58,-521.2777969,-434.8786316,-515.5553986,-397.6573973,,,-487.2371807,-418.6753588,-793.661773,-319.8972394,-828.101179,-328.6238981,-755.015708,-235.8813146
3718,18.585,-523.0189767,-434.9672422,-517.1062729,-397.7420236,,,-488.8689658,-418.9204749,-794.1747451,-318.9636211,-828.7080836,-327.7028424,-755.3639471,-235.0840638
3719,18.59,-524.7597909,-435.0470417,-518.6572214,-397.8180378,,,-490.5032591,-419.157605,-794.6840023,-318.0210927,-829.3105687,-326.7694564,-755.7061374,-234.2796013
3720,18.595,-526.5049049,-435.1169414,-520.2062405,-397.8860638,,,-492.1367676,-419.3876379,-795.1900283,-317.0708973,-829.9106901,-325.8217348,-756.0441467,-233.4666648
3721,18.6,-528.2504306,-435.1768041,-521.7538493,-397.9464824,,,-493.7729968,-419.6101109,-795.6919067,-316.1112983,-830.5062401,-324.863656,-756.3768661,-232.6458078
3722,18.605,-529.9992888,-435.225093,-523.3005606,-397.9984082,,,-495.4101645,-419.8250608,-796.1912588,-315.143218,-831.0974199,-323.8942243,-756.7052701,-231.8164902
3723,18.61,-531.7479874,-435.2647852,-524.8471605,-398.0434352,,,-497.0479401,-420.0341169,-796.6869851,-314.1665929,-831.6841948,-322.913364,-757.0278778,-230.9793368
3724,18.615,-533.4990984,-435.292919,-526.3942906,-398.0785246,,,-498.6880794,-420.2348148,-797.1800345,-313.1790522,-832.2661031,-321.9214387,-757.3457282,-230.1337528
3725,18.62,-535.2507385,-435.3116275,-527.9401728,-398.1059732,,,-500.3310904,-420.4280216,-797.6668756,-312.1842881,-832.8439461,-320.9187212,-757.6596149,-229.2795858
3726,18.625,-537.0036308,-435.319919,-529.484956,-398.1262759,,,-501.9747153,-420.6141068,-798.1516431,-311.1807189,-833.4186647,-319.9036341,-757.969508,-228.4173504
3727,18.63,-538.756683,-435.3189561,-531.0298318,-398.1380252,,,-503.6198995,-420.792123,-798.6328253,-310.1700624,-833.9889302,-318.878171,-758.2758804,-227.5475327
3728,18.635,-540.5089928,-435.3100993,-532.5748632,-398.1427842,,,-505.2661997,-420.9636788,-799.1118588,-309.1515425,-834.5562309,-317.8408753,-758.5778146,-226.6695817
3729,18.64,-542.2623937,-435.2908514,-534.1196796,-398.1394122,,,-506.9131406,-421.1273748,-799.5883685,-308.1253578,-835.1229811,-316.787664,-758.8756564,-225.7855758
3730,18.645,-544.013626,-435.2629156,-535.6634826,-398.1299042,,,-508.5617954,-421.2844059,-800.0633472,-307.0920977,-835.6859285,-315.7245058,-759.1701483,-224.8951132
3731,18.65,-545.765797,-435.2264535,-537.2061933,-398.1118454,,,-510.2127756,-421.4343003,-800.5358389,-306.0532022,-836.2453202,-314.6505346,-759.4604447,-223.9981055
3732,18.655,-547.5186894,-435.1806109,-538.7506528,-398.0861678,,,-511.8652389,-421.5766822,-801.0070077,-305.004655,-836.8017231,-313.5659872,-759.7468637,-223.0959383
3733,18.66,-549.2716206,-435.1254083,-540.2933051,-398.0544783,,,-513.5199522,-421.7103063,-801.4763992,-303.9483996,-837.3539173,-312.4719833,-760.0293061,-222.1876475
3734,18.665,-551.023442,-435.0620057,-541.8362126,-398.0154201,,,-515.1765399,-421.8350599,-801.9432666,-302.883358,-837.9021546,-311.368026,-760.3081745,-221.2732418
3735,18.67,-552.7747634,-434.9895247,-543.3765414,-397.9685155,,,-516.8341372,-421.9529171,-802.4056409,-301.8131944,-838.4474006,-310.2536665,-760.5823682,-220.3526241
3736,18.675,-554.5264942,-434.9080143,-544.9157559,-397.9165874,,,-518.4937499,-422.0615751,-802.8656184,-300.7362133,-838.9895249,-309.1275314,-760.8532626,-219.424961
3737,18.68,-556.2770439,-434.8171906,-546.4550285,-397.8588064,,,-520.1532274,-422.1622878,-803.3230234,-299.6511641,-839.5274543,-307.9909462,-761.1194775,-218.4915441
3738,18.685,-558.0254944,-434.7150325,-547.9938093,-397.7946693,,,-521.8147548,-422.2548498,-803.7776026,-298.5590268,-840.0621668,-306.8434997,-761.3807565,-217.5520057
3739,18.69,-559.7742099,-434.6021352,-549.5310119,-397.7233379,,,-523.4789224,-422.3390653,-804.2286353,-297.4597101,-840.5932285,-305.6854603,-761.6390692,-216.6044751
3740,18.695,-561.5210381,-434.4807321,-551.0684743,-397.6446812,,,-525.1434703,-422.4167817,-804.6749213,-296.3537414,-841.1205888,-304.5167862,-761.892854,-215.6501256
3741,18.7,-563.2677697,-434.3482147,-552.6058441,-397.5594147,,,-526.8095879,-422.4865023,-805.1170899,-295.239501,-841.6446003,-303.3365681,-762.1410602,-214.6894837
3742,18.705,-565.0125735,-434.2077074,-554.1438964,-397.4678421,,,-528.4776193,-422.5478983,-805.5535728,-294.1199002,-842.1636527,-302.1469395,-762.3843552,-213.7224457
3743,18.71,-566.7559828,-434.0606073,-555.6814621,-397.3693547,,,-530.1473734,-422.6004461,-805.9854951,-292.9929339,-842.675741,-300.9490493,-762.6223822,-212.7489547
3744,18.715,-568.4991269,-433.9042799,-557.2186531,-397.2658319,,,-531.8181531,-422.6451264,-806.4114292,-291.8580847,-843.1811774,-299.7436821,-762.8549307,-211.7683065
3745,18.72,-570.2423146,-433.7402711,-558.7584143,-397.1597794,,,-533.4887772,-422.6826605,-806.8315662,-290.7168143,-843.6809095,-298.5291602,-763.0820944,-210.7822354
3746,18.725,-571.9832865,-433.5694934,-560.2974478,-397.0471033,,,-535.1607657,-422.7124707,-807.2454834,-289.5684312,-844.1758298,-297.3052367,-763.3040975,-209.7889869
3747,18.73,-573.7225178,-433.3908601,-561.8327789,-396.924716,,,-536.8336092,-422.7341791,-807.6544488,-288.4116491,-844.6656024,-296.073038,-763.5213336,-208.7880235
3748,18.735,-575.4600706,-433.2046419,-563.366747,-396.7972992,,,-538.5088504,-422.748018,-808.0581762,-287.248343,-845.1500272,-294.8326047,-763.733356,-207.7804313
3749,18.74,-577.1972957,-433.0086144,-564.9017467,-396.6626074,,,-540.1848872,-422.7551829,-808.4563794,-286.0787513,-845.6321213,-293.5790274,-763.9395181,-206.7669473
3750,18.745,-578.9318584,-432.8060491,-566.4363966,-396.5215149,,,-541.8624919,-422.7534514,-808.848847,-284.9015142,-846.1072149,-292.3172237,-764.1405338,-205.7471574
3751,18.75,-580.6651781,-432.5952576,-567.9708032,-396.3748101,,,-543.5394156,-422.7453029,-809.2355368,-283.7167424,-846.5764157,-291.0469262,-764.3359748,-204.7195193
3752,18.755,-582.3969116,-432.3782119,-569.5053003,-396.2224447,,,-545.2177519,-422.7289479,-809.6153097,-282.5257845,-847.0398803,-289.7678061,-764.5256494,-203.6840627
3753,18.76,-584.1267918,-432.1551557,-571.0394772,-396.0634225,,,-546.8967423,-422.7044542,-809.9884894,-281.3284496,-847.4971343,-288.4803676,-764.7094791,-202.641788
3754,18.765,-585.8477484,-431.9184355,-572.5723786,-395.8992355,,,-548.5766606,-422.6694023,-810.3563925,-280.1219892,-847.9476672,-287.1864759,-764.8869827,-201.5916897
3755,18.77,-587.5683669,-431.6732099,-574.1062319,-395.7291308,,,-550.2557625,-422.6256425,-810.7186447,-278.9078489,-848.3922466,-285.8829648,-765.0587714,-200.5346402
3756,18.775,-589.2876119,-431.4197277,-575.6396129,-395.5527772,,,-551.9347014,-422.5750311,-811.0763999,-277.6854872,-848.8321047,-284.5710194,-765.2255652,-199.4701188
3757,18.78,-590.9996915,-431.1578553,-577.1728562,-395.3706758,,,-553.6126452,-422.5168872,-811.4285053,-276.4565172,-849.2655404,-283.2525822,-765.3875534,-198.3988879
3758,18.785,-592.709682,-430.8895462,-578.7045272,-395.183307,,,-555.293433,-422.452787,-811.7762064,-275.219927,-849.6952789,-281.9238532,-765.5442385,-197.3206852
3759,18.79,-594.418215,-430.6147383,-580.2364607,-394.9892737,,,-556.974183,-422.3788994,-812.1187827,-273.9756757,-850.1207568,-280.5865078,-765.6959915,-196.2353119
3760,18.795,-596.1235814,-430.3331835,-581.7670114,-394.7904133,,,-558.6548046,-422.3002526,-812.4566916,-272.7251981,-850.5408532,-279.2411036,-765.842785,-195.1432393
3761,18.8,-597.8288262,-430.0435697,-583.2989499,-394.5857807,,,-560.3353604,-422.2112627,-812.790119,-271.4678736,-850.9565771,-277.8867135,-765.9850341,-194.044323
3762,18.805,-599.5319855,-429.7478203,-584.8301588,-394.3750744,,,-562.015227,-422.1152537,-813.1184042,-270.2038523,-851.3677517,-276.5238326,-766.1215432,-192.9392339
3763,18.81,-601.2293732,-429.4463649,-586.3623942,-394.1574351,,,-563.6950948,-422.0117692,-813.4415472,-268.9329753,-851.7743017,-275.1520413,-766.2527218,-191.827368
3764,18.815,-602.9202191,-429.1391722,-587.8928279,-393.9358477,,,-565.3753962,-421.9024805,-813.7597104,-267.653095,-852.1774615,-273.7688134,-766.3775371,-190.7090461
3765,18.82,-604.6045363,-428.8262631,-589.4225593,-393.7083408,,,-567.0553879,-421.7857953,-814.0729556,-266.3649906,-852.5751642,-272.3775743,-766.4973503,-189.5820934
3766,18.825,-606.282338,-428.5076587,-590.9512034,-393.4755193,,,-568.7355219,-421.6612487,-814.3813406,-265.067274,-852.9669916,-270.9782591,-766.6116402,-188.4464714
3767,18.83,-607.9536375,-428.1833798,-592.478387,-393.2377291,,,-570.4141127,-421.5303537,-814.6828842,-263.7612491,-853.353313,-269.5696276,-766.718712,-187.3034857
3768,18.835,-609.6184479,-427.8534474,-594.0055903,-392.9941996,,,-572.0863102,-421.3812868,-814.97824,-262.4453952,-853.7337857,-268.1521357,-766.8194655,-186.1534854
3769,18.84,-611.2767825,-427.5178825,-595.5329461,-392.7436828,,,-573.7571026,-421.2257012,-815.2671304,-261.1198427,-854.1080713,-266.7255682,-766.9130852,-184.9971662
3770,18.845,-612.9286544,-427.176706,-597.0584845,-392.4890676,,,-575.4326681,-421.0733959,-815.5503387,-259.7850576,-854.4774512,-265.2888799,-767.0011437,-183.8320016
3771,18.85,-614.574077,-426.8299389,-598.5836014,-392.2285555,,,-577.1070209,-420.914994,-815.8277011,-258.4404177,-854.839743,-263.843415,-767.0823809,-182.6591357
3772,18.855,-616.2130633,-426.4776021,-600.107868,-391.9627094,,,-578.7803625,-420.7487095,-816.0998602,-257.0853828,-855.1962253,-262.388593,-767.1574002,-181.4790411
3773,18.86,-617.8456266,-426.1197166,-601.6295036,-391.6916924,,,-580.4522795,-420.5754447,-816.3661862,-255.7212603,-855.5479962,-260.9217437,-767.2262689,-180.2908325
3774,18.865,-619.4717801,-425.7563032,-603.1507224,-391.4140176,,,-582.1232046,-420.3955238,-816.6270383,-254.347583,-855.894419,-259.4456126,-767.2890063,-179.0941242
3775,18.87,-621.091537,-425.3873831,-604.6697484,-391.1319271,,,-583.7930772,-420.2085296,-816.8822442,-252.9637229,-856.2335184,-257.9622461,-767.3454601,-177.8893222
3776,18.875,-622.7049105,-425.012977,-606.1870055,-390.8440875,,,-585.4603483,-420.0130018,-817.1312606,-251.5710338,-856.5671738,-256.4689958,-767.3963125,-176.6760315
3777,18.88,-624.3119139,-424.633106,-607.7022382,-390.5516478,,,-587.1258717,-419.8127868,-817.3748416,-250.1677211,-856.8944566,-254.9677843,-767.4408758,-175.454792
3778,18.885,-625.9125603,-424.2477911,-609.2151274,-390.2552404,,,-588.7889394,-419.6065028,-817.6128445,-248.754067,-857.2155601,-253.4569656,-767.4792996,-174.2245822
3779,18.89,-627.506863,-423.8570531,-610.7259819,-389.9564805,,,-590.4489147,-419.3934434,-817.8444646,-247.3294516,-857.5300199,-251.9373035,-767.511296,-172.9856171
3780,18.895,-629.0948351,-423.4609131,-612.2361026,-389.6527982,,,-592.1077042,-419.1757211,-818.0695187,-245.8954907,-857.8380006,-250.4091347,-767.5370773,-171.7390823
3781,18.9,-630.6764899,-423.0593919,-613.7436556,-389.344277,,,-593.763773,-418.9514284,-818.2882672,-244.451384,-858.1397947,-248.8703417,-767.5555383,-170.4862889
3782,18.905,-632.2518406,-422.6525105,-615.2500145,-389.0292553,,,-595.4162965,-418.7214734,-818.4988195,-242.9990172,-858.4341324,-247.3227273,-767.5667874,-169.224085
3783,18.91,-633.8209003,-422.2402899,-616.7525501,-388.7097906,,,-597.0672018,-418.4842927,-818.701282,-241.5380639,-858.7190427,-245.7686877,-767.5714282,-167.9543561
3784,18.915,-635.3836824,-421.8227511,-618.2524511,-388.3862069,,,-598.7144251,-418.2409891,-818.8957101,-240.068278,-858.9969413,-244.2063923,-767.5683285,-166.6778166
