DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,
200,200,26220,7,mm,200,1,26220,,,,,,,,
Frame#,Time,Drone_Left_Front,,Drone_Right_Front,,Drone_Center_Front,,Drone_Center_Back,,Speaker_1,,Speaker_2,,Speaker_3,
Frame,Time,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
2848,14.235,NaN,NaN,NaN,NaN,NaN,NaN,58.84068,-1679.89929,16.96205,-1284.47241,-3.1258,-1271.41638,NaN,NaN
2849,14.24,NaN,NaN,NaN,NaN,NaN,NaN,58.9637,-1678.69189,17.08729,-1283.94446,-3.04981,-1270.83813,NaN,NaN
2850,14.245,NaN,NaN,NaN,NaN,NaN,NaN,59.08821,-1677.34827,17.23023,-1283.52039,-2.80958,-1270.44653,NaN,NaN
2851,14.25,NaN,NaN,NaN,NaN,NaN,NaN,59.39024,-1676.02307,17.51531,-1283.04602,-2.42452,-1270.01465,NaN,NaN
2852,14.255,NaN,NaN,NaN,NaN,NaN,NaN,59.52039,-1674.72742,17.92657,-1282.47241,-2.14985,-1269.50928,NaN,NaN
2853,14.26,NaN,NaN,NaN,NaN,NaN,NaN,59.5332,-1673.46167,18.29999,-1282.08118,-1.63843,-1268.98877,NaN,NaN
2854,14.265,NaN,NaN,NaN,NaN,NaN,NaN,59.75414,-1672.03174,18.667,-1281.62561,-1.19574,-1268.44202,NaN,NaN
2855,14.27,NaN,NaN,NaN,NaN,NaN,NaN,60.05536,-1670.95984,19.0768,-1280.9054,-0.76411,-1267.86426,NaN,NaN
2856,14.275,NaN,NaN,NaN,NaN,NaN,NaN,59.83965,-1669.33435,19.49615,-1280.45081,-0.36729,-1267.14526,NaN,NaN
2857,14.28,NaN,NaN,NaN,NaN,NaN,NaN,60.12247,-1668.27979,20.1645,-1279.94141,0.51765,-1266.80005,NaN,NaN
2858,14.285,NaN,NaN,NaN,NaN,NaN,NaN,60.0136,-1666.75037,20.68875,-1279.38538,1.12736,-1266.15527,NaN,NaN
2859,14.29,NaN,NaN,NaN,NaN,NaN,NaN,60.57245,-1665.72888,21.49047,-1278.83655,1.88229,-1265.63257,NaN,NaN
2860,14.295,NaN,NaN,NaN,NaN,NaN,NaN,60.59156,-1664.43323,22.0773,-1278.27844,2.58062,-1264.9397,NaN,NaN
2861,14.3,NaN,NaN,NaN,NaN,NaN,NaN,60.68675,-1663.0575,22.88963,-1277.60938,3.41041,-1264.29236,NaN,NaN
2862,14.305,NaN,NaN,NaN,NaN,NaN,NaN,60.91409,-1661.81274,23.85542,-1276.98401,4.20773,-1263.52368,NaN,NaN
2863,14.31,NaN,NaN,NaN,NaN,NaN,NaN,60.99208,-1660.65527,24.72631,-1276.39954,5.32535,-1262.83313,NaN,NaN
2864,14.315,NaN,NaN,NaN,NaN,NaN,NaN,60.94391,-1659.24695,25.6459,-1275.68152,6.20871,-1262.12927,NaN,NaN
2865,14.32,NaN,NaN,NaN,NaN,NaN,NaN,61.18679,-1657.95825,26.65019,-1275.03394,7.00286,-1261.3092,NaN,NaN
2866,14.325,NaN,NaN,NaN,NaN,NaN,NaN,61.29018,-1656.85864,27.80228,-1274.43103,8.18556,-1260.4978,NaN,NaN
2867,14.33,NaN,NaN,NaN,NaN,NaN,NaN,61.42388,-1655.4115,28.95109,-1273.71631,9.29368,-1259.68677,NaN,NaN
2868,14.335,NaN,NaN,NaN,NaN,NaN,NaN,61.46448,-1654.08862,30.23045,-1273.0636,10.3999,-1258.71143,NaN,NaN
2869,14.34,NaN,NaN,NaN,NaN,NaN,NaN,61.55032,-1652.89868,31.47096,-1272.44873,11.61321,-1257.88049,NaN,NaN
2870,14.345,NaN,NaN,NaN,NaN,NaN,NaN,61.63212,-1651.55066,32.85385,-1271.69861,13.27287,-1257.22937,NaN,NaN
2871,14.35,NaN,NaN,NaN,NaN,NaN,NaN,61.76369,-1650.33179,34.21429,-1270.9873,14.67412,-1256.33569,NaN,NaN
2872,14.355,NaN,NaN,NaN,NaN,NaN,NaN,61.59867,-1648.97449,35.85828,-1270.34644,15.99462,-1255.35474,NaN,NaN
2873,14.36,NaN,NaN,NaN,NaN,NaN,NaN,61.71899,-1647.65833,37.45643,-1269.67908,17.48227,-1254.43774,NaN,NaN
2874,14.365,NaN,NaN,NaN,NaN,NaN,NaN,61.79689,-1646.39978,38.97041,-1268.97083,18.93535,-1253.53259,NaN,NaN
2875,14.37,NaN,NaN,NaN,NaN,NaN,NaN,61.84133,-1645.18884,40.54839,-1268.34351,20.38278,-1252.58838,NaN,NaN
2876,14.375,NaN,NaN,NaN,NaN,NaN,NaN,62.89199,-1645.26563,42.28936,-1267.57129,22.28724,-1251.61414,NaN,NaN
2877,14.38,NaN,NaN,NaN,NaN,NaN,NaN,62.88223,-1643.9425,43.85915,-1266.71631,23.83075,-1250.50403,NaN,NaN
2878,14.385,NaN,NaN,NaN,NaN,NaN,NaN,62.07704,-1641.47717,45.59076,-1265.98853,25.58471,-1249.48401,NaN,NaN
2879,14.39,NaN,NaN,NaN,NaN,NaN,NaN,62.0675,-1640.14624,47.4514,-1265.14868,27.15505,-1248.37012,NaN,NaN
2880,14.395,NaN,NaN,NaN,NaN,NaN,NaN,63.14289,-1640.26282,49.13154,-1264.32349,28.72831,-1247.39209,NaN,NaN
2881,14.4,NaN,NaN,NaN,NaN,NaN,NaN,62.97562,-1638.95374,51.05075,-1263.51184,30.79331,-1246.57422,NaN,NaN
2882,14.405,NaN,NaN,NaN,NaN,NaN,NaN,62.22448,-1636.44446,52.8394,-1262.63232,32.73548,-1245.55322,NaN,NaN
2883,14.41,NaN,NaN,NaN,NaN,NaN,NaN,86.38825,-1666.78809,54.78688,-1261.59729,34.63068,-1244.62073,NaN,NaN
2884,14.415,NaN,NaN,NaN,NaN,NaN,NaN,86.41144,-1665.45154,56.88837,-1260.62122,36.44018,-1243.40588,NaN,NaN
2885,14.42,NaN,NaN,NaN,NaN,NaN,NaN,86.62337,-1664.20227,58.7085,-1259.68396,38.29425,-1242.34839,NaN,NaN
2886,14.425,NaN,NaN,NaN,NaN,NaN,NaN,86.57389,-1662.88757,60.62167,-1258.8512,40.0449,-1241.4425,NaN,NaN
2887,14.43,NaN,NaN,NaN,NaN,NaN,NaN,86.63762,-1661.66431,62.49878,-1257.98303,41.66909,-1240.38721,NaN,NaN
2888,14.435,NaN,NaN,NaN,NaN,NaN,NaN,86.74926,-1660.34485,64.6287,-1257.18713,43.90572,-1239.68726,NaN,NaN
2889,14.44,NaN,NaN,NaN,NaN,NaN,NaN,86.53864,-1658.92688,66.32482,-1256.27661,46.00508,-1238.71631,NaN,NaN
2890,14.445,NaN,NaN,NaN,NaN,NaN,NaN,86.61018,-1657.59119,68.41632,-1255.47168,47.69258,-1237.66479,NaN,NaN
2891,14.45,NaN,NaN,NaN,NaN,NaN,NaN,86.72051,-1656.35767,70.15797,-1254.73364,49.54921,-1236.7384,NaN,NaN
2892,14.455,NaN,NaN,NaN,NaN,NaN,NaN,86.65227,-1655.13074,72.11524,-1253.93555,51.76392,-1235.96863,NaN,NaN
2893,14.46,NaN,NaN,NaN,NaN,NaN,NaN,86.60391,-1653.73157,73.78313,-1252.98083,53.41739,-1235.04871,NaN,NaN
2894,14.465,NaN,NaN,NaN,NaN,NaN,NaN,86.71721,-1652.4281,75.67403,-1252.28455,54.97107,-1234.06226,NaN,NaN
2895,14.47,NaN,NaN,NaN,NaN,NaN,NaN,86.62938,-1651.16943,77.38146,-1251.59753,56.93683,-1233.20239,NaN,NaN
2896,14.475,NaN,NaN,NaN,NaN,NaN,NaN,86.61452,-1649.88684,79.19674,-1250.93115,58.5847,-1232.24561,NaN,NaN
2897,14.48,NaN,NaN,NaN,NaN,NaN,NaN,86.69656,-1648.69824,81.03923,-1250.34753,60.49852,-1231.72852,NaN,NaN
2898,14.485,NaN,NaN,NaN,NaN,NaN,NaN,86.55753,-1647.25488,82.76498,-1249.74231,62.43382,-1231.078,NaN,NaN
2899,14.49,NaN,NaN,NaN,NaN,NaN,NaN,86.38255,-1645.90259,84.64503,-1249.08936,64.32769,-1230.3075,NaN,NaN
2900,14.495,NaN,NaN,NaN,NaN,NaN,NaN,86.42152,-1644.74939,86.38586,-1248.55017,66.0417,-1229.68054,NaN,NaN
2901,14.5,NaN,NaN,NaN,NaN,NaN,NaN,86.55799,-1643.57703,88.17348,-1248.02625,67.88381,-1229.13708,NaN,NaN
2902,14.505,NaN,NaN,NaN,NaN,NaN,NaN,86.32981,-1642.18103,90.03348,-1247.52832,69.48746,-1228.46912,NaN,NaN
2903,14.51,NaN,NaN,NaN,NaN,NaN,NaN,86.2223,-1640.86853,91.76194,-1247.08093,71.37429,-1228.03906,NaN,NaN
2904,14.515,NaN,NaN,NaN,NaN,NaN,NaN,86.2947,-1639.69885,93.59566,-1246.59314,73.40887,-1227.53198,NaN,NaN
2905,14.52,NaN,NaN,NaN,NaN,NaN,NaN,86.05417,-1638.35718,95.45808,-1246.12317,75.20332,-1227.11951,NaN,NaN
2906,14.525,NaN,NaN,NaN,NaN,NaN,NaN,85.48831,-1636.80457,97.21458,-1245.80872,76.79743,-1226.69995,NaN,NaN
2907,14.53,NaN,NaN,NaN,NaN,NaN,NaN,85.39297,-1635.59546,98.98637,-1245.36011,78.85894,-1226.44458,NaN,NaN
2908,14.535,NaN,NaN,NaN,NaN,NaN,NaN,85.37634,-1634.44373,100.82873,-1244.95825,80.67413,-1226.14075,NaN,NaN
2909,14.54,NaN,NaN,NaN,NaN,NaN,NaN,85.35297,-1633.23071,102.53957,-1244.63477,82.15072,-1225.73901,NaN,NaN
2910,14.545,NaN,NaN,NaN,NaN,NaN,NaN,85.23136,-1632.01013,104.20176,-1244.4624,83.85763,-1225.37378,NaN,NaN
2911,14.55,NaN,NaN,NaN,NaN,NaN,NaN,85.33471,-1630.79895,105.89693,-1244.21301,85.62145,-1225.1156,NaN,NaN
2912,14.555,NaN,NaN,NaN,NaN,NaN,NaN,85.14794,-1629.56543,107.50913,-1244.02148,86.93967,-1224.7522,NaN,NaN
2913,14.56,NaN,NaN,NaN,NaN,NaN,NaN,85.12894,-1628.33545,109.20144,-1243.8811,89.15692,-1224.78601,NaN,NaN
2914,14.565,NaN,NaN,NaN,NaN,NaN,NaN,85.11282,-1627.09277,110.91139,-1243.74561,90.71741,-1224.59558,NaN,NaN
2915,14.57,NaN,NaN,NaN,NaN,NaN,NaN,84.67201,-1625.72119,112.55849,-1243.62866,92.48488,-1224.35291,NaN,NaN
2916,14.575,NaN,NaN,NaN,NaN,NaN,NaN,84.31727,-1624.46643,114.16071,-1243.54517,93.98779,-1224.19153,NaN,NaN
2917,14.58,NaN,NaN,NaN,NaN,NaN,NaN,84.42619,-1623.41687,115.76595,-1243.56104,95.70809,-1224.01636,NaN,NaN
2918,14.585,NaN,NaN,NaN,NaN,NaN,NaN,84.28781,-1622.05188,117.48215,-1243.4939,97.32259,-1223.85913,NaN,NaN
2919,14.59,NaN,NaN,NaN,NaN,NaN,NaN,84.23328,-1620.95496,119.18146,-1243.45203,99.2268,-1224.01221,NaN,NaN
2920,14.595,NaN,NaN,NaN,NaN,NaN,NaN,84.11723,-1619.73352,120.95332,-1243.40088,101.05092,-1224.0072,NaN,NaN
2921,14.6,NaN,NaN,NaN,NaN,NaN,NaN,83.89951,-1618.46716,122.78439,-1243.37109,102.69801,-1223.90271,NaN,NaN
2922,14.605,NaN,NaN,NaN,NaN,NaN,NaN,83.75177,-1617.31323,124.56104,-1243.37476,104.507,-1224.18396,NaN,NaN
2923,14.61,NaN,NaN,NaN,NaN,NaN,NaN,83.70932,-1616.1532,126.38412,-1243.33557,106.2246,-1224.20251,NaN,NaN
2924,14.615,NaN,NaN,NaN,NaN,NaN,NaN,83.5303,-1614.83533,128.11407,-1243.41675,107.9797,-1224.34656,NaN,NaN
2925,14.62,NaN,NaN,NaN,NaN,NaN,NaN,83.41986,-1613.72107,129.8622,-1243.4762,109.5076,-1224.349,NaN,NaN
2926,14.625,NaN,NaN,NaN,NaN,NaN,NaN,83.29955,-1612.55396,131.61258,-1243.58252,111.26203,-1224.59534,NaN,NaN
2927,14.63,NaN,NaN,NaN,NaN,NaN,NaN,83.04583,-1611.21838,133.36009,-1243.77039,112.87919,-1224.60876,NaN,NaN
2928,14.635,NaN,NaN,NaN,NaN,NaN,NaN,82.1119,-1609.66333,135.08627,-1243.93201,114.90044,-1225.0365,NaN,NaN
2929,14.64,NaN,NaN,NaN,NaN,NaN,NaN,82.02871,-1608.52551,136.79269,-1244.12512,116.29831,-1225.17993,NaN,NaN
2930,14.645,NaN,NaN,NaN,NaN,NaN,NaN,81.88824,-1607.33899,138.48445,-1244.33557,118.31925,-1225.45544,NaN,NaN
2931,14.65,NaN,NaN,NaN,NaN,NaN,NaN,81.86552,-1606.23682,140.11865,-1244.6134,119.68851,-1225.73279,NaN,NaN
2932,14.655,NaN,NaN,NaN,NaN,NaN,NaN,81.63595,-1604.90649,141.76082,-1244.9541,121.30593,-1225.92896,NaN,NaN
2933,14.66,NaN,NaN,NaN,NaN,NaN,NaN,81.56686,-1603.81299,143.35028,-1245.23474,122.79066,-1226.0426,NaN,NaN
2934,14.665,NaN,NaN,NaN,NaN,NaN,NaN,81.41843,-1602.75952,144.96815,-1245.62463,124.33521,-1226.16357,NaN,NaN
2935,14.67,NaN,NaN,NaN,NaN,NaN,NaN,81.06881,-1601.48645,146.56047,-1245.96484,126.03291,-1226.39905,NaN,NaN
2936,14.675,NaN,NaN,NaN,NaN,NaN,NaN,80.95478,-1600.28918,148.12259,-1246.30396,127.58177,-1226.68091,240.11995,-1260.20288
2937,14.68,NaN,NaN,NaN,NaN,NaN,NaN,80.66196,-1599.09717,149.67831,-1246.65918,129.1205,-1226.99414,241.68565,-1260.70227
2938,14.685,NaN,NaN,NaN,NaN,NaN,NaN,80.47887,-1597.8739,151.19142,-1247.00354,130.7308,-1227.20117,243.21255,-1261.27332
2939,14.69,NaN,NaN,NaN,NaN,NaN,NaN,80.35799,-1596.78552,152.72807,-1247.40283,132.26888,-1227.41077,244.59268,-1261.67432
