Frame,Time,Drone_Angle,Speaker_Angle
1,0,153.4343262,106.1860998
2,0.007,153.5096097,106.2694249
3,0.013,153.4599978,106.3672568
4,0.02,153.5212883,106.4436215
5,0.027,153.6127888,106.5076585
6,0.033,153.5832058,106.5792331
7,0.04,153.4743063,106.6807898
8,0.047,153.3602779,106.7558531
9,0.053,153.4050928,106.832614
10,0.06,153.4978221,106.902571
11,0.067,153.5495983,106.9751204
12,0.073,153.5815826,107.0654339
13,0.08,153.7932266,107.1443582
14,0.087,153.7401818,107.2144609
15,0.093,153.6979427,107.2905651
16,0.1,153.8925078,107.3535626
17,0.107,153.6104046,107.4278965
18,0.113,153.7886024,107.476234
19,0.12,153.8546353,107.5299833
20,0.127,153.8408786,107.5793093
21,0.133,153.8970693,107.6251085
22,0.14,154.0794144,107.6871577
23,0.147,154.3126117,107.7297076
24,0.153,154.2159355,107.758135
25,0.16,154.4594133,107.7881772
26,0.167,154.4545104,107.79624
27,0.173,154.6555723,107.8040351
28,0.18,154.5825882,107.8415875
29,0.187,154.5937569,107.8555702
30,0.193,154.4862893,107.8475618
31,0.2,154.7849152,107.8526144
32,0.207,154.7747114,107.8517923
33,0.213,154.9794367,107.8694864
34,0.22,154.9404257,107.8932166
35,0.227,155.1862817,107.8775239
36,0.233,154.9114639,107.8690588
37,0.24,155.011661,107.8493856
38,0.247,155.0876604,107.8175263
39,0.253,155.2791821,107.8291826
40,0.26,155.1621651,107.81315
41,0.267,155.3640849,107.7897611
42,0.273,155.2532184,107.7578884
43,0.28,155.5873209,107.770777
44,0.287,155.4000272,107.747934
45,0.293,155.6966225,107.7245509
46,0.3,156.1187408,107.70804
47,0.307,155.8216038,107.6613782
48,0.313,156.0270689,107.6403497
49,0.32,155.8636266,107.6294268
50,0.327,155.9786762,107.6128976
51,0.333,156.0022756,107.5748796
52,0.34,156.049416,107.5352927
53,0.347,155.9753907,107.5121766
54,0.353,156.1790573,107.5135992
55,0.36,156.1444,107.4730828
56,0.367,156.1367673,107.4332122
57,0.373,156.0000037,107.4190635
58,0.38,156.4256568,107.4040692
59,0.387,156.4952937,107.3946687
60,0.393,156.4971804,107.3596442
61,0.4,156.315434,107.3281992
62,0.407,156.2626852,107.2863604
63,0.413,156.2756671,107.277029
64,0.42,156.3034228,107.234547
65,0.427,156.510766,107.1897169
66,0.433,156.6914487,107.1489724
67,0.44,156.6748527,107.1521342
68,0.447,156.4840129,107.1283879
69,0.453,156.7541826,107.1278271
70,0.46,156.4938875,107.1009534
71,0.467,156.5402862,107.071298
72,0.473,156.6350847,107.0258798
73,0.48,156.7128358,106.994248
74,0.487,156.7511585,106.9646157
75,0.493,157.0559986,106.924824
76,0.5,157.1228781,106.8672547
77,0.507,157.0399014,106.8749728
78,0.513,156.6938931,106.8336518
79,0.52,156.8768353,106.7910741
80,0.527,156.8399713,106.7733079
81,0.533,157.1063701,106.7404768
82,0.54,157.0378381,106.6987567
83,0.547,157.12149,106.6316396
84,0.553,156.8355272,106.5973671
85,0.56,156.9187315,106.5609838
86,0.567,156.4961947,106.5060452
87,0.573,156.3406656,106.4566397
88,0.58,155.9536728,106.3963506
89,0.587,155.1011407,106.3587474
90,0.593,154.4654495,106.3128897
91,0.6,153.7399445,106.2597815
92,0.607,152.8466273,106.2047467
93,0.613,151.854986,106.1665836
94,0.62,151.0980331,106.1211397
95,0.627,150.2726917,106.0697009
96,0.633,149.2826893,105.9983161
97,0.64,148.197411,105.9316949
98,0.647,146.9696584,106.0601531
99,0.653,145.791396,105.9896855
100,0.66,144.6853192,105.9525068
101,0.667,143.0331839,105.8771364
102,0.673,142.1224108,105.8232343
103,0.68,140.7841354,105.7925111
104,0.687,139.5316746,105.7305335
105,0.693,138.2686706,105.6604571
106,0.7,136.8967192,105.5915245
107,0.707,135.4750689,105.5434383
108,0.713,134.0710968,105.4412463
109,0.72,132.7294369,105.3769487
110,0.727,131.6288146,105.283457
111,0.733,130.2604323,105.1683566
112,0.74,128.8982,105.0537734
113,0.747,127.774363,104.9128601
114,0.753,126.4319721,105.0313214
115,0.76,125.2010771,104.9619349
116,0.767,124.1479057,104.899444
117,0.773,123.2493366,104.7475186
118,0.78,122.5591369,104.619778
119,0.787,122.1643092,104.404485
120,0.793,121.011655,104.2903766
121,0.8,120.3672898,104.1463147
122,0.807,116.08562,104.0031792
123,0.813,115.1394295,103.8026022
124,0.82,113.9980208,103.6369423
125,0.827,111.5958142,103.4140624
126,0.833,109.2487526,103.3116262
127,0.84,108.4881652,103.1755698
128,0.847,108.4050578,102.944063
129,0.853,107.1155774,102.7651906
130,0.86,106.2197277,102.2896211
131,0.867,105.414116,101.8140516
132,0.873,104.316968,101.4064206
133,0.88,103.281544,100.9308511
134,0.887,102.4241974,100.4552816
135,0.893,101.7620511,100.0476506
136,0.9,100.7201431,99.57208111
137,0.907,100.0766152,99.09651162
138,0.913,98.85896931,98.68888062
139,0.92,97.40010041,98.21331112
140,0.927,96.83812665,97.73774162
141,0.933,96.6189231,97.33011062
142,0.94,96.10905216,96.85454113
143,0.947,95.27603255,96.37897163
144,0.953,94.45910299,95.97134063
145,0.96,94.08212878,95.49577113
146,0.967,93.28079737,95.02020163
147,0.973,92.8464491,94.61257064
148,0.98,92.76722134,94.13700114
149,0.987,92.19010259,93.66143164
150,0.993,91.62665983,93.25380064
151,1,90.97375756,92.77823114
152,1.007,90.44232483,92.30266165
153,1.013,90.17577509,91.89503065
154,1.02,89.83368687,91.41946115
155,1.027,89.30402197,90.94389165
156,1.033,89.14986486,90.53626065
157,1.04,88.94222541,90.06069116
158,1.047,88.38787134,89.58512166
159,1.053,88.1760617,89.17749066
160,1.06,87.89202155,88.70192116
161,1.067,87.57351678,88.22635167
162,1.073,87.4231546,87.81872067
163,1.08,87.50739619,87.34315117
164,1.087,86.73233323,86.86758167
165,1.093,86.86919346,86.45995067
166,1.1,86.5005287,85.98438118
167,1.107,86.58126725,85.50881168
168,1.113,86.53947746,85.10118068
169,1.12,86.33468367,84.62561118
170,1.127,86.06667559,84.15004168
171,1.133,85.93303436,83.74241069
172,1.14,86.03037044,83.26684119
173,1.147,85.86027258,82.79127169
174,1.153,85.86952578,82.38364069
175,1.16,85.54028973,81.90807119
176,1.167,85.31201143,81.4325017
177,1.173,85.46620047,81.0248707
178,1.18,85.3803983,80.5493012
179,1.187,85.12453337,80.0737317
180,1.193,85.04989627,79.6661007
181,1.2,85.00577515,79.19053121
182,1.207,84.84919157,78.71496171
183,1.213,84.94998716,78.30733071
184,1.22,85.0195194,77.83176121
185,1.227,84.91615162,77.35619171
186,1.233,84.742832,76.94856072
187,1.24,84.78636418,76.47299122
188,1.247,84.65823807,75.99742172
189,1.253,84.68894318,75.58979072
190,1.26,84.6116674,75.11422122
191,1.267,84.84597372,74.63865173
192,1.273,84.45302508,74.23102073
193,1.28,84.65213021,73.75545123
194,1.287,84.72955185,73.27988173
195,1.293,84.63031045,72.87225073
196,1.3,84.35456085,72.39668124
197,1.307,84.51830875,71.92111174
198,1.313,84.41418757,71.51348074
199,1.32,84.72086779,71.03791124
200,1.327,84.51833307,70.56234175
201,1.333,84.5961326,70.15471075
202,1.34,84.63501803,69.67914125
203,1.347,84.38025032,69.20357175
204,1.353,84.31395252,68.79594075
205,1.36,84.49446397,68.32037126
206,1.367,84.56109766,67.84480176
207,1.373,84.66797676,67.43717076
208,1.38,84.59401935,66.96160126
209,1.387,84.40409096,66.48603176
210,1.393,84.49618528,66.07840077
211,1.4,84.43044238,65.60283127
212,1.407,84.56391051,65.12726177
213,1.413,84.57153503,64.71963077
214,1.42,84.50443041,64.24406127
215,1.427,84.24641674,63.76849178
216,1.433,84.27602616,63.36086078
217,1.44,84.42893044,62.88529128
218,1.447,84.32081501,62.40972178
219,1.453,84.52319308,62.00209078
220,1.46,84.37349816,61.52652129
221,1.467,84.18261592,61.05095179
222,1.473,84.30167698,60.64332079
223,1.48,84.25483354,60.16775129
224,1.487,84.23072136,59.69218179
225,1.493,84.07179132,59.2845508
226,1.5,84.2029995,58.8089813
227,1.507,84.19392402,58.3334118
228,1.513,84.15073427,57.9257808
229,1.52,84.17102593,57.4502113
230,1.527,84.01119468,56.97464181
231,1.533,83.98240363,56.56701081
232,1.54,83.87938565,56.09144131
233,1.547,83.84177839,55.61587181
234,1.553,83.86799393,55.20824081
235,1.56,84.00876698,54.73267132
236,1.567,83.74936251,54.25710182
237,1.573,83.6968621,53.84947082
238,1.58,83.80474543,53.37390132
239,1.587,83.73521554,52.89833183
240,1.593,83.50078641,52.49070083
241,1.6,83.5047186,52.01513133
242,1.607,83.44653689,51.53956183
243,1.613,83.64231445,51.13193083
244,1.62,83.23302841,50.65636134
245,1.627,83.51830613,50.18079184
246,1.633,83.42693659,49.77316084
247,1.64,83.02508443,49.29759134
248,1.647,83.39274162,48.82202184
249,1.653,83.09382305,48.41439085
250,1.66,83.41790757,47.93882135
251,1.667,83.30809595,47.46325185
252,1.673,83.16829798,47.05562085
253,1.68,83.22806766,46.58005135
254,1.687,82.89124527,46.10448186
255,1.693,82.88660277,45.69685086
256,1.7,83.12856551,45.22128136
257,1.707,83.01558403,44.74571186
258,1.713,82.9762264,44.33808086
259,1.72,82.88851328,43.86251137
260,1.727,82.68901325,43.38694187
261,1.733,82.92946833,42.97931087
262,1.74,82.86424511,42.50374137
263,1.747,82.83456251,42.02817187
264,1.753,83.21619818,41.62054088
265,1.76,82.89915238,41.14497138
266,1.767,82.66945696,40.66940188
267,1.773,82.83446942,40.26177088
268,1.78,82.68412525,39.78620138
269,1.787,82.82292942,39.31063189
270,1.793,82.95717324,38.90300089
271,1.8,82.58758579,38.42743139
272,1.807,82.63567537,37.95186189
273,1.813,82.58915499,37.5442309
274,1.82,82.76749897,37.0686614
275,1.827,82.98130376,36.5930919
276,1.833,82.64149765,36.1854609
277,1.84,82.77302049,35.7098914
278,1.847,82.64459586,35.23432191
279,1.853,82.70941716,34.82669091
280,1.86,82.88888986,34.35112141
281,1.867,82.57930488,33.87555191
282,1.873,82.77686942,33.46792091
283,1.88,83.04682374,32.99235142
284,1.887,82.80613009,32.51678192
285,1.893,82.72555241,32.10915092
286,1.9,82.71407872,31.63358142
287,1.907,82.48263895,31.15801192
288,1.913,82.69800807,30.75038093
289,1.92,82.81650493,30.27481143
290,1.927,82.53375627,29.79924193
291,1.933,82.86488391,29.39161093
292,1.94,82.89838314,28.91604143
293,1.947,82.61975855,28.44047194
294,1.953,82.6885695,28.03284094
295,1.96,82.73041662,27.55727144
296,1.967,82.67250852,27.08170194
297,1.973,82.99989409,26.67407094
298,1.98,82.74197919,26.19850145
299,1.987,82.74031254,25.72293195
300,1.993,82.68485583,25.31530095
301,2,82.90001709,24.83973145
